"epoch","wobbly-elevator-22 - _step","wobbly-elevator-22 - _step__MIN","wobbly-elevator-22 - _step__MAX","wobbly-elevator-22 - val_loss","wobbly-elevator-22 - val_loss__MIN","wobbly-elevator-22 - val_loss__MAX","driven-glitter-23 - _step","driven-glitter-23 - _step__MIN","driven-glitter-23 - _step__MAX","driven-glitter-23 - val_loss","driven-glitter-23 - val_loss__MIN","driven-glitter-23 - val_loss__MAX","breezy-sun-24 - _step","breezy-sun-24 - _step__MIN","breezy-sun-24 - _step__MAX","breezy-sun-24 - val_loss","breezy-sun-24 - val_loss__MIN","breezy-sun-24 - val_loss__MAX","atomic-voice-25 - _step","atomic-voice-25 - _step__MIN","atomic-voice-25 - _step__MAX","atomic-voice-25 - val_loss","atomic-voice-25 - val_loss__MIN","atomic-voice-25 - val_loss__MAX","classic-bee-26 - _step","classic-bee-26 - _step__MIN","classic-bee-26 - _step__MAX","classic-bee-26 - val_loss","classic-bee-26 - val_loss__MIN","classic-bee-26 - val_loss__MAX","usual-deluge-27 - _step","usual-deluge-27 - _step__MIN","usual-deluge-27 - _step__MAX","usual-deluge-27 - val_loss","usual-deluge-27 - val_loss__MIN","usual-deluge-27 - val_loss__MAX","frosty-blaze-28 - _step","frosty-blaze-28 - _step__MIN","frosty-blaze-28 - _step__MAX","frosty-blaze-28 - val_loss","frosty-blaze-28 - val_loss__MIN","frosty-blaze-28 - val_loss__MAX","resilient-cosmos-29 - _step","resilient-cosmos-29 - _step__MIN","resilient-cosmos-29 - _step__MAX","resilient-cosmos-29 - val_loss","resilient-cosmos-29 - val_loss__MIN","resilient-cosmos-29 - val_loss__MAX"
"21","23","23","23","2.76230859557553","2.76230859557553","2.76230859557553","","","","","","","43","43","43","2.8577927404386423","2.8577927404386423","2.8577927404386423","","","","","","","40","40","40","3.5238319117738617","3.5238319117738617","3.5238319117738617","","","","","","","40","40","40","3.188663729773127","3.188663729773127","3.188663729773127","","","","","",""
"22","24","24","24","2.758497287550577","2.758497287550577","2.758497287550577","","","","","","","45","45","45","2.875152036628588","2.875152036628588","2.875152036628588","","","","","","","42","42","42","3.5389741803754364","3.5389741803754364","3.5389741803754364","","","","","","","42","42","42","3.2261676234365777","3.2261676234365777","3.2261676234365777","","","","","",""
"23","25","25","25","2.7614550377711775","2.7614550377711775","2.7614550377711775","","","","","","","47","47","47","2.9065079990403477","2.9065079990403477","2.9065079990403477","","","","","","","44","44","44","3.596689373017859","3.596689373017859","3.596689373017859","","","","","","","44","44","44","3.28722323162825","3.28722323162825","3.28722323162825","","","","","",""
"24","26","26","26","2.7657701392475897","2.7657701392475897","2.7657701392475897","","","","","","","49","49","49","2.936096140963972","2.936096140963972","2.936096140963972","","","","","","","46","46","46","3.6250299687181013","3.6250299687181013","3.6250299687181013","","","","","","","46","46","46","3.3333319521757243","3.3333319521757243","3.3333319521757243","","","","","",""
"25","27","27","27","2.7747433923258176","2.7747433923258176","2.7747433923258176","","","","","","","51","51","51","2.9594638786931435","2.9594638786931435","2.9594638786931435","","","","","","","48","48","48","3.6626826142570437","3.6626826142570437","3.6626826142570437","","","","","","","48","48","48","3.3998302809509973","3.3998302809509973","3.3998302809509973","","","","","",""
"26","28","28","28","2.7761345645284523","2.7761345645284523","2.7761345645284523","","","","","","","53","53","53","2.982177513990286","2.982177513990286","2.982177513990286","","","","","","","50","50","50","3.7229705894617338","3.7229705894617338","3.7229705894617338","","","","","","","50","50","50","3.4226211517826397","3.4226211517826397","3.4226211517826397","","","","","",""
"27","29","29","29","2.7826414544391893","2.7826414544391893","2.7826414544391893","","","","","","","55","55","55","2.997730522651177","2.997730522651177","2.997730522651177","","","","","","","52","52","52","3.7337917071165694","3.7337917071165694","3.7337917071165694","","","","","","","52","52","52","3.464115257818649","3.464115257818649","3.464115257818649","","","","","",""
"28","30","30","30","2.789085523296838","2.789085523296838","2.789085523296838","","","","","","","57","57","57","3.035476485203214","3.035476485203214","3.035476485203214","","","","","","","54","54","54","3.810916810259018","3.810916810259018","3.810916810259018","","","","","","","54","54","54","3.5186150224693926","3.5186150224693926","3.5186150224693926","","","","","",""
"29","31","31","31","2.793713416137455","2.793713416137455","2.793713416137455","","","","","","","59","59","59","3.0538687233472612","3.0538687233472612","3.0538687233472612","","","","","","","56","56","56","3.8082476583253393","3.8082476583253393","3.8082476583253393","","","","","","","56","56","56","3.573281402167538","3.573281402167538","3.573281402167538","","","","","",""
"30","33","33","33","2.800263518866757","2.800263518866757","2.800263518866757","","","","","","","62","62","62","3.0833589514049664","3.0833589514049664","3.0833589514049664","","","","","","","58","58","58","3.837164216565129","3.837164216565129","3.837164216565129","","","","","","","58","58","58","3.597926349182009","3.597926349182009","3.597926349182009","","","","","",""
